"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C10";"C_0603_HandSoldering";1;"47 pF";;;
2;"C11,C60,C61,C62,C63,C81,C91";"C_0603_HandSoldering";7;"100 nF";;;
3;"C12";"C_0603_HandSoldering";1;"1 uF";;;
4;"C13,C14,C20,C21";"SMD-1206_Pol";4;"10 uF";;;
5;"C80,C90";"C_0603_HandSoldering";2;"10 nF";;;
6;"D11,D60,D61";"R_0603_HandSoldering";3;"LED";;;
7;"P1";"Pin_Header_Straight_1x02";1;"Battery";;;
8;"P2";"Pin_Header_Straight_1x03";1;"Servo";;;
9;"P3";"Pin_Header_Straight_1x03";1;"Uart";;;
10;"P4";"Pin_Header_Straight_1x04";1;"Ultrasound";;;
11;"P5";"Pin_Header_Straight_1x02";1;"Motor left";;;
12;"P6";"Pin_Header_Straight_1x02";1;"Motor right";;;
13;"P7";"Pin_Header_Straight_2x03";1;"ISP";;;
14;"P8";"Pin_Header_Straight_1x02";1;"RPi 5V";;;
15;"R11,R30,R40,R60,R61,R70,R72,R74,R76";"R_0603_HandSoldering";9;"300";;;
16;"R12,R13";"R_0603_HandSoldering";2;"0";;;
17;"R31,R41,R71,R73,R75,R77";"R_0603_HandSoldering";6;"10k";;;
18;"R62";"R_0603_HandSoldering";1;"4k7";;;
19;"R100";"R_0603_HandSoldering";1;"510k";;;
20;"R101";"R_0603_HandSoldering";1;"39k";;;
21;"U1";"SOT-223";1;"TS1117E33";;;
22;"U2";"SOT-223";1;"TS1117E50";;;
23;"U5";"TO-220_Neutral123_Vertical";1;"R-78BXX";;;
24;"U6";"TQFP-44_10x10mm_Pitch0.8mm";1;"ATXMEGA32A4U-A";;;
25;"U7";"SOIC16";1;"TLP280";;;
26;"U10";"SOT-23-5";1;"ts321";;;
27;"U8,U9";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"BD6221F-E2";;;
28;"D10";"DO-214BA";1;"SS24";;;
29;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"3mm_hole";11;"3mm hole";;;
30;"U3,U4";"OPB606";2;"PC817";;;
